Symbol,Name,Currency,Last Price,ADT (Value),Turnover Rate %,Market Cap,Exchange,Board
IN00366.US,Casinos and Gaming,USD,1325.36,1936945020.0613332,0.0,0.0,,SecurityBoard.USSector
XOM.US,Exxon Mobil Corporation,USD,118.49,1910940819.2305999,0.38262968093463484,499691953602.86,NYSE,SecurityBoard.Unknown
EFA.US,iShares MSCI EAFE ETF,USD,97.93,1867763010.8258667,2.736795155855097,69745746000.0,AMEX,SecurityBoard.Unknown
GS.US,"The Goldman Sachs Group, Inc.",USD,941.02,1866410321.3,0.7088516169774871,282238727421.22,NYSE,SecurityBoard.Unknown
LRCX.US,Lam Research Corporation,USD,203.08,1860515083.8936,0.8710640510178898,255074572400.00003,NASD,SecurityBoard.Unknown
GDX.US,VanEck Gold Miners ETF,USD,91.06,1810434671.4666667,7.179535485249507,26990411650.0,AMEX,SecurityBoard.Unknown
XLV.US,State Street®HlthCrSelSectSPDR®ETF,USD,159.66,1771749696.6666667,4.543255271492154,40132987629.84,AMEX,SecurityBoard.Unknown
AMAT.US,"Applied Materials, Inc.",USD,292.2,1736632461.6185334,0.836604279420043,231698051545.19998,NASD,SecurityBoard.Unknown
IN00290.US,Diversified Metals and Mining,USD,1516.519,1703338787.3709998,0.0,0.0,,SecurityBoard.USSector
BA.US,The Boeing Company,USD,228.12,1698746997.9666667,1.0839834485984154,173392978160.16,NYSE,SecurityBoard.Unknown
JNJ.US,Johnson & Johnson,USD,207.49,1688643707.2333333,0.3393421943156661,499904640713.98004,NYSE,SecurityBoard.Unknown
XLK.US,The Technology Select Sector SPDR® ETF,USD,146.53,1661004508.6666667,3.065638762114852,46253058587.41,AMEX,SecurityBoard.Unknown
MRVL.US,"Marvell Technology, Inc.",USD,84.64,1653023065.9217334,2.166870259010337,71783184000.0,NASD,SecurityBoard.Unknown
IN00370.US,Human Resource and Employment Services,USD,1331.583,1645845522.6746666,0.0,0.0,,SecurityBoard.USSector
SGOV.US,iShares® 0-3 Month Treasury Bond ETF,USD,100.44,1627800646.8,3.1939094970598867,50958234000.0,AMEX,SecurityBoard.Unknown
TSLL.US,Direxion Daily TSLA Bull 2X Shares,USD,17.51,1617870038.4,15.691426012875745,9043477250.0,NASD,SecurityBoard.Unknown
RKLB.US,Rocket Lab Corporation,USD,84.08,1617749024.6333334,4.751875246729812,44911864478.64,NASD,SecurityBoard.Unknown
UBER.US,"Uber Technologies, Inc.",USD,86.19,1611556413.6333334,0.9225550045832479,179088200538.38998,NYSE,SecurityBoard.Unknown
HD.US,"The Home Depot, Inc.",USD,349.06,1607677151.7,0.4603595407038422,347493238954.1,NYSE,SecurityBoard.Unknown
IN00381.US,Oil and Gas Refining and Marketing,USD,2664.087,1602438550.6946669,0.0,0.0,,SecurityBoard.USSector
IN00386.US,Insurance Brokers,USD,1718.451,1594293193.1829998,0.0,0.0,,SecurityBoard.USSector
SOXX.US,iShares Semiconductor ETF,USD,324.89,1583564277.0,9.199464845814978,18437507500.0,NASD,SecurityBoard.Unknown
BABA.US,Alibaba Group Holding Limited,USD,146.75,1581073795.6592667,0.4566866722506318,327895093596.0,NYSE,SecurityBoard.Unknown
MA.US,Mastercard Incorporated,USD,579.92,1564976045.9,0.3108001007149423,520765752172.16,NYSE,SecurityBoard.Unknown
IN00266.US,Rail Transportation,USD,1266.103,1559462040.1286666,0.0,0.0,,SecurityBoard.USSector
